統計項目,總人口數,幼年人口_0_14歲,工作年齡人口_15_64歲,老年人口_65歲以上,縣市,幼年比例(%),工作年齡比例(%),老年比例(%)
106年/ 區域別總計 / 計,23571227,3091873,17211341,3268013,區域別總計,13.117149141196597,73.01843472128117,13.864416137522243
106年/ 新北市 / 計,3986689,498155,2986137,502397,新北市,12.495456756220513,74.90268240136113,12.601860842418358
106年/ 臺北市 / 計,2683257,369872,1874209,439176,臺北市,13.784441818282781,69.84828512512965,16.36727305658757
106年/ 桃園市 / 計,2188017,331649,1620364,236004,桃園市,15.157514772508623,74.05628018429474,10.786205043196647
106年/ 臺中市 / 計,2787070,407467,2059022,320581,臺中市,14.619905492147666,73.87765646359797,11.502438044254362
106年/ 臺南市 / 計,1886522,233691,1381516,271315,臺南市,12.387398609716717,73.2308449093093,14.381756480973984
106年/ 高雄市 / 計,2776912,336948,2045103,394861,高雄市,12.133909897036709,73.6466621916719,14.21942791129139
106年/ 宜蘭縣 / 計,456607,55674,330908,70025,宜蘭縣,12.192979958695334,72.47107468786068,15.33594535344399
106年/ 新竹縣 / 計,552169,91331,394658,66180,新竹縣,16.540407013070276,71.47413201393051,11.985460972999208
106年/ 苗栗縣 / 計,553807,72200,396246,85361,苗栗縣,13.037032756899064,71.54947481703915,15.413492426061786
106年/ 彰化縣 / 計,1282458,170450,922509,189499,彰化縣,13.290883600086708,71.93288201251035,14.776234387402939
106年/ 南投縣 / 計,501051,55733,362538,82780,南投縣,11.123218993675295,72.35550872066915,16.521272285655552
106年/ 雲林縣 / 計,690373,81516,487667,121190,雲林縣,11.807530132261835,70.63819123864926,17.554278629088913
106年/ 嘉義縣 / 計,511182,50176,366622,94384,嘉義縣,9.815682085832442,71.72044399059435,18.46387392357321
106年/ 屏東縣 / 計,829939,90673,607919,131347,屏東縣,10.925260772177232,73.24863634556274,15.82610288226002
106年/ 臺東縣 / 計,219540,26398,158984,34158,臺東縣,12.024232486107316,72.41687164070328,15.558895873189396
106年/ 花蓮縣 / 計,329237,40087,238678,50472,花蓮縣,12.175727515437208,72.49428223437828,15.329990250184517
106年/ 澎湖縣 / 計,104073,11338,76565,16170,澎湖縣,10.894276133098883,73.56855284271617,15.537171024184948
106年/ 基隆市 / 計,371458,39601,276832,55025,基隆市,10.660963016007194,74.52578757221544,14.813249411777374
106年/ 新竹市 / 計,441132,76216,314160,50756,新竹市,17.277368225383785,71.21677865128805,11.505853123328166
106年/ 嘉義市 / 計,269398,37604,193654,38140,嘉義市,13.958529758944016,71.88397835173238,14.157491889323603
106年/ 金門縣 / 計,137456,13520,107105,16831,金門縣,9.83587475264812,77.91947968804564,12.244645559306251
106年/ 連江縣 / 計,12880,1574,9945,1361,連江縣,12.220496894409937,77.21273291925466,10.566770186335404
