"人口數","人口數","幼年人口_0至14歲_統計","工作年齡人口_15至64歲_統計","老年人口_65歲以上_統計"
"106年/ 區域別總計 / 計","23,571,227","3,091,873","17,211,341","3,268,013"
"106年/ 新北市 / 計","3,986,689","498,155","2,986,137","502,397"
"106年/ 臺北市 / 計","2,683,257","369,872","1,874,209","439,176"
"106年/ 桃園市 / 計","2,188,017","331,649","1,620,364","236,004"
"106年/ 臺中市 / 計","2,787,070","407,467","2,059,022","320,581"
"106年/ 臺南市 / 計","1,886,522","233,691","1,381,516","271,315"
"106年/ 高雄市 / 計","2,776,912","336,948","2,045,103","394,861"
"106年/ 宜蘭縣 / 計","456,607","55,674","330,908","70,025"
"106年/ 新竹縣 / 計","552,169","91,331","394,658","66,180"
"106年/ 苗栗縣 / 計","553,807","72,200","396,246","85,361"
"106年/ 彰化縣 / 計","1,282,458","170,450","922,509","189,499"
"106年/ 南投縣 / 計","501,051","55,733","362,538","82,780"
"106年/ 雲林縣 / 計","690,373","81,516","487,667","121,190"
"106年/ 嘉義縣 / 計","511,182","50,176","366,622","94,384"
"106年/ 屏東縣 / 計","829,939","90,673","607,919","131,347"
"106年/ 臺東縣 / 計","219,540","26,398","158,984","34,158"
"106年/ 花蓮縣 / 計","329,237","40,087","238,678","50,472"
"106年/ 澎湖縣 / 計","104,073","11,338","76,565","16,170"
"106年/ 基隆市 / 計","371,458","39,601","276,832","55,025"
"106年/ 新竹市 / 計","441,132","76,216","314,160","50,756"
"106年/ 嘉義市 / 計","269,398","37,604","193,654","38,140"
"106年/ 金門縣 / 計","137,456","13,520","107,105","16,831"
"106年/ 連江縣 / 計","12,880","1,574","9,945","1,361"
"106年 1月/ 區域別總計 / 計","23,543,346","3,136,335","17,282,361","3,124,650"
"106年 1月/ 新北市 / 計","3,979,963","506,608","3,003,866","469,489"
"106年 1月/ 臺北市 / 計","2,695,371","374,589","1,899,341","421,441"
"106年 1月/ 桃園市 / 計","2,150,685","329,208","1,600,233","221,244"
"106年 1月/ 臺中市 / 計","2,769,005","408,902","2,056,108","303,995"
"106年 1月/ 臺南市 / 計","1,886,075","236,198","1,388,673","261,204"
"106年 1月/ 高雄市 / 計","2,779,332","343,067","2,060,163","376,102"
"106年 1月/ 宜蘭縣 / 計","457,349","56,678","332,586","68,085"
"106年 1月/ 新竹縣 / 計","547,794","91,613","391,821","64,360"
"106年 1月/ 苗栗縣 / 計","558,779","75,854","399,807","83,118"
"106年 1月/ 彰化縣 / 計","1,286,842","174,907","928,111","183,824"
"106年 1月/ 南投縣 / 計","504,838","58,070","366,289","80,479"
"106年 1月/ 雲林縣 / 計","694,519","84,315","491,083","119,121"
"106年 1月/ 嘉義縣 / 計","515,012","52,652","369,805","92,555"
"106年 1月/ 屏東縣 / 計","835,409","93,449","614,377","127,583"
"106年 1月/ 臺東縣 / 計","220,712","27,234","160,264","33,214"
"106年 1月/ 花蓮縣 / 計","330,810","41,114","240,810","48,886"
"106年 1月/ 澎湖縣 / 計","103,303","11,500","76,159","15,644"
"106年 1月/ 基隆市 / 計","372,044","40,387","279,416","52,241"
"106年 1月/ 新竹市 / 計","437,753","76,197","313,113","48,443"
"106年 1月/ 嘉義市 / 計","269,879","38,517","194,886","36,476"
"106年 1月/ 金門縣 / 計","135,223","13,681","105,689","15,853"
"106年 1月/ 連江縣 / 計","12,649","1,595","9,761","1,293"
"106年 2月/ 區域別總計 / 計","23,544,189","3,133,699","17,271,093","3,139,397"
"106年 2月/ 新北市 / 計","3,980,317","506,095","3,001,385","472,837"
"106年 2月/ 臺北市 / 計","2,694,195","374,302","1,896,670","423,223"
"106年 2月/ 桃園市 / 計","2,153,521","329,395","1,601,378","222,748"
"106年 2月/ 臺中市 / 計","2,770,356","408,889","2,055,804","305,663"
"106年 2月/ 臺南市 / 計","1,886,160","236,151","1,387,833","262,176"
"106年 2月/ 高雄市 / 計","2,779,052","342,810","2,058,309","377,933"
"106年 2月/ 宜蘭縣 / 計","457,323","56,675","332,342","68,306"
"106年 2月/ 新竹縣 / 計","548,090","91,591","391,847","64,652"
"106年 2月/ 苗栗縣 / 計","558,373","75,599","399,378","83,396"
