"人口增加","區域別總計","新北市_統計","臺北市_統計","桃園市_統計","臺中市_統計","臺南市_統計","高雄市_統計","宜蘭縣_統計","新竹縣_統計","苗栗縣_統計","彰化縣_統計","南投縣_統計","雲林縣_統計","嘉義縣_統計","屏東縣_統計","臺東縣_統計","花蓮縣_統計","澎湖縣_統計","基隆市_統計","新竹市_統計","嘉義市_統計","金門縣_統計","連江縣_統計"
"109年 (1~10月)/ 人口數(人)",23566471,4029920,2608332,2265940,2817547,1875909,2767383,453309,569565,543287,1267786,491546,677669,500117,813676,215468,324602,105912,367890,450793,266251,140420,13149
"109年 (1~10月)/ 總增加率(o/oo)",-1.55,2.79,-13.98,7.49,0.81,-2.66,-2.10,-1.92,9.94,-3.99,-3.95,-5.21,-5.35,-5.97,-6.75,-6.08,-5.05,6.68,-2.72,4.42,-5.39,1.67,4.57
"109年 (1~10月)/ 自然增加率(o/oo)",-0.46,0.23,0.37,2.83,0.42,-2.16,-1.04,-2.04,0.35,-3.37,0.85,-2.86,-4.03,-4.25,-4.14,-3.70,-2.76,0.14,-2.31,1.67,-2.19,1.40,2.74
"109年 (1~10月)/ 社會增加率(o/oo)",-1.10,2.56,-14.34,4.66,0.39,-0.50,-1.06,0.13,9.59,-0.62,-4.80,-2.35,-1.33,-1.72,-2.61,-2.38,-2.29,6.54,-0.41,2.75,-3.20,0.28,1.83
"109年 1月/ 人口數(人)",23604265,4020572,2642877,2250954,2815704,1880216,2774571,454161,564296,545433,1272449,493984,680963,502718,818493,216633,326063,105147,368932,449113,267653,140253,13080
"109年 1月/ 總增加率(o/oo)",0.05,0.47,-0.82,0.85,0.16,-0.37,0.49,-0.04,0.64,-0.05,-0.28,-0.26,-0.50,-0.79,-0.84,-0.68,-0.56,-0.57,0.11,0.69,-0.14,0.48,-0.69
"109年 1月/ 自然增加率(o/oo)",-0.09,-0.01,0.01,0.20,-0.04,-0.24,-0.17,-0.25,-0.03,-0.30,0.05,-0.28,-0.43,-0.55,-0.43,-0.35,-0.40,-0.09,-0.23,0.17,-0.22,0.01,0.08
"109年 1月/ 社會增加率(o/oo)",0.14,0.48,-0.83,0.65,0.19,-0.13,0.66,0.21,0.67,0.25,-0.33,0.02,-0.07,-0.24,-0.42,-0.34,-0.17,-0.48,0.33,0.52,0.08,0.48,-0.76
"109年 2月/ 人口數(人)",23600903,4022450,2639084,2252835,2816052,1879647,2774316,454099,564832,545158,1271761,493743,680448,502385,817803,216453,325857,105121,368870,449251,267598,140081,13059
"109年 2月/ 總增加率(o/oo)",-0.14,0.47,-1.44,0.84,0.12,-0.30,-0.09,-0.14,0.95,-0.50,-0.54,-0.49,-0.76,-0.66,-0.84,-0.83,-0.63,-0.25,-0.17,0.31,-0.21,-1.23,-1.61
