統計項目,縣市,數值,期間,指標
109年 (1~10月)/ 人口數(人),區域別總計,23566471.0,109年 (1~10月),人口數(人)
109年 (1~10月)/ 總增加率(o/oo),區域別總計,-1.55,109年 (1~10月),總增加率(o/oo)
109年 (1~10月)/ 自然增加率(o/oo),區域別總計,-0.46,109年 (1~10月),自然增加率(o/oo)
109年 (1~10月)/ 社會增加率(o/oo),區域別總計,-1.1,109年 (1~10月),社會增加率(o/oo)
109年 1月/ 人口數(人),區域別總計,23604265.0,109年 1月,人口數(人)
109年 1月/ 總增加率(o/oo),區域別總計,0.05,109年 1月,總增加率(o/oo)
109年 1月/ 自然增加率(o/oo),區域別總計,-0.09,109年 1月,自然增加率(o/oo)
109年 1月/ 社會增加率(o/oo),區域別總計,0.14,109年 1月,社會增加率(o/oo)
109年 2月/ 人口數(人),區域別總計,23600903.0,109年 2月,人口數(人)
109年 2月/ 總增加率(o/oo),區域別總計,-0.14,109年 2月,總增加率(o/oo)
109年 2月/ 自然增加率(o/oo),區域別總計,-0.11,109年 2月,自然增加率(o/oo)
109年 2月/ 社會增加率(o/oo),區域別總計,-0.03,109年 2月,社會增加率(o/oo)
109年 3月/ 人口數(人),區域別總計,23596493.0,109年 3月,人口數(人)
109年 3月/ 總增加率(o/oo),區域別總計,-0.19,109年 3月,總增加率(o/oo)
109年 3月/ 自然增加率(o/oo),區域別總計,-0.07,109年 3月,自然增加率(o/oo)
109年 3月/ 社會增加率(o/oo),區域別總計,-0.11,109年 3月,社會增加率(o/oo)
109年 4月/ 人口數(人),區域別總計,23591920.0,109年 4月,人口數(人)
109年 4月/ 總增加率(o/oo),區域別總計,-0.19,109年 4月,總增加率(o/oo)
109年 4月/ 自然增加率(o/oo),區域別總計,-0.07,109年 4月,自然增加率(o/oo)
109年 4月/ 社會增加率(o/oo),區域別總計,-0.13,109年 4月,社會增加率(o/oo)
109年 5月/ 人口數(人),區域別總計,23586562.0,109年 5月,人口數(人)
109年 5月/ 總增加率(o/oo),區域別總計,-0.23,109年 5月,總增加率(o/oo)
109年 5月/ 自然增加率(o/oo),區域別總計,-0.04,109年 5月,自然增加率(o/oo)
109年 5月/ 社會增加率(o/oo),區域別總計,-0.18,109年 5月,社會增加率(o/oo)
109年 6月/ 人口數(人),區域別總計,23583823.0,109年 6月,人口數(人)
109年 6月/ 總增加率(o/oo),區域別總計,-0.12,109年 6月,總增加率(o/oo)
109年 6月/ 自然增加率(o/oo),區域別總計,0.02,109年 6月,自然增加率(o/oo)
109年 6月/ 社會增加率(o/oo),區域別總計,-0.13,109年 6月,社會增加率(o/oo)
109年 7月/ 人口數(人),區域別總計,23578705.0,109年 7月,人口數(人)
109年 7月/ 總增加率(o/oo),區域別總計,-0.22,109年 7月,總增加率(o/oo)
109年 7月/ 自然增加率(o/oo),區域別總計,-0.08,109年 7月,自然增加率(o/oo)
109年 7月/ 社會增加率(o/oo),區域別總計,-0.14,109年 7月,社會增加率(o/oo)
109年 8月/ 人口數(人),區域別總計,23574334.0,109年 8月,人口數(人)
109年 8月/ 總增加率(o/oo),區域別總計,-0.19,109年 8月,總增加率(o/oo)
109年 8月/ 自然增加率(o/oo),區域別總計,-0.02,109年 8月,自然增加率(o/oo)
109年 8月/ 社會增加率(o/oo),區域別總計,-0.16,109年 8月,社會增加率(o/oo)
109年 9月/ 人口數(人),區域別總計,23568378.0,109年 9月,人口數(人)
109年 9月/ 總增加率(o/oo),區域別總計,-0.25,109年 9月,總增加率(o/oo)
109年 9月/ 自然增加率(o/oo),區域別總計,-0.0,109年 9月,自然增加率(o/oo)
109年 9月/ 社會增加率(o/oo),區域別總計,-0.25,109年 9月,社會增加率(o/oo)
109年 10月/ 人口數(人),區域別總計,23566471.0,109年 10月,人口數(人)
109年 10月/ 總增加率(o/oo),區域別總計,-0.08,109年 10月,總增加率(o/oo)
109年 10月/ 自然增加率(o/oo),區域別總計,0.02,109年 10月,自然增加率(o/oo)
109年 10月/ 社會增加率(o/oo),區域別總計,-0.1,109年 10月,社會增加率(o/oo)
109年 (1~10月)/ 人口數(人),新北市,4029920.0,109年 (1~10月),人口數(人)
109年 (1~10月)/ 總增加率(o/oo),新北市,2.79,109年 (1~10月),總增加率(o/oo)
109年 (1~10月)/ 自然增加率(o/oo),新北市,0.23,109年 (1~10月),自然增加率(o/oo)
109年 (1~10月)/ 社會增加率(o/oo),新北市,2.56,109年 (1~10月),社會增加率(o/oo)
109年 1月/ 人口數(人),新北市,4020572.0,109年 1月,人口數(人)
109年 1月/ 總增加率(o/oo),新北市,0.47,109年 1月,總增加率(o/oo)
109年 1月/ 自然增加率(o/oo),新北市,-0.01,109年 1月,自然增加率(o/oo)
109年 1月/ 社會增加率(o/oo),新北市,0.48,109年 1月,社會增加率(o/oo)
109年 2月/ 人口數(人),新北市,4022450.0,109年 2月,人口數(人)
109年 2月/ 總增加率(o/oo),新北市,0.47,109年 2月,總增加率(o/oo)
109年 2月/ 自然增加率(o/oo),新北市,-0.02,109年 2月,自然增加率(o/oo)
109年 2月/ 社會增加率(o/oo),新北市,0.49,109年 2月,社會增加率(o/oo)
109年 3月/ 人口數(人),新北市,4023620.0,109年 3月,人口數(人)
109年 3月/ 總增加率(o/oo),新北市,0.29,109年 3月,總增加率(o/oo)
109年 3月/ 自然增加率(o/oo),新北市,0.02,109年 3月,自然增加率(o/oo)
109年 3月/ 社會增加率(o/oo),新北市,0.27,109年 3月,社會增加率(o/oo)
109年 4月/ 人口數(人),新北市,4024539.0,109年 4月,人口數(人)
109年 4月/ 總增加率(o/oo),新北市,0.23,109年 4月,總增加率(o/oo)
109年 4月/ 自然增加率(o/oo),新北市,-0.0,109年 4月,自然增加率(o/oo)
109年 4月/ 社會增加率(o/oo),新北市,0.23,109年 4月,社會增加率(o/oo)
109年 5月/ 人口數(人),新北市,4026407.0,109年 5月,人口數(人)
109年 5月/ 總增加率(o/oo),新北市,0.46,109年 5月,總增加率(o/oo)
109年 5月/ 自然增加率(o/oo),新北市,0.05,109年 5月,自然增加率(o/oo)
109年 5月/ 社會增加率(o/oo),新北市,0.41,109年 5月,社會增加率(o/oo)
109年 6月/ 人口數(人),新北市,4026646.0,109年 6月,人口數(人)
109年 6月/ 總增加率(o/oo),新北市,0.06,109年 6月,總增加率(o/oo)
109年 6月/ 自然增加率(o/oo),新北市,0.07,109年 6月,自然增加率(o/oo)
